Scenario,Trial,Seed,Alpha,Beta,Gamma,Turn,Drones,Victims,Intel,Adv,Accepts,Rejects,Successes,Fails,Score,Heat
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,1000.0,0,42,0,0,23,19,9,12,9.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,1020.0,0,43,0,0,24,19,10,12,10.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,1040.0,0,45,0,0,26,19,10,12,10.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,1060.0,0,48,0,0,28,20,10,12,10.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,1080.0,0,49,0,0,29,20,10,13,10.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,1100.0,0,52,0,0,32,20,11,16,11.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,1120.0,0,52,0,0,32,20,11,17,11.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,1140.0,0,53,0,0,33,20,11,19,11.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,1160.0,0,54,0,0,34,20,11,20,11.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,1180.0,0,54,0,0,34,20,11,21,11.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,1200.0,0,54,0,0,34,20,11,22,11.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,1220.0,0,54,0,0,34,20,12,22,12.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,1240.0,0,56,0,0,36,20,12,22,12.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,1260.0,0,57,0,0,36,21,13,22,13.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,1280.0,0,57,0,0,36,21,13,22,13.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,1300.0,0,58,0,0,36,22,13,22,13.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,1320.0,0,59,0,0,36,23,13,22,13.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,1340.0,0,59,0,0,36,23,13,22,13.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,1360.0,0,61,0,0,38,23,13,22,13.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,1380.0,0,61,0,0,38,23,14,22,14.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,1400.0,0,62,0,0,39,23,14,22,14.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,1420.0,0,63,0,0,40,23,14,22,14.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,1440.0,0,64,0,0,40,24,14,24,14.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,1460.0,0,65,0,0,41,24,14,24,14.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,1480.0,0,65,0,0,41,24,14,25,14.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,1500.0,0,65,0,0,41,24,14,25,14.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,1520.0,0,65,0,0,41,24,14,25,14.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,1540.0,0,67,0,0,43,24,15,25,15.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,1560.0,0,67,0,0,43,24,15,25,15.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,1580.0,9,67,0,0,43,24,15,25,15.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,1600.0,29,67,0,0,43,24,15,26,15.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,1620.0,29,67,0,0,43,24,16,26,16.0,0.0712
ScenarioSize64Probes32HelpfulC,3,4258223208824758363,0.125,0.0,0.125,0.0,0,0,0,0,0,0,0,0,0.0,0.0
ScenarioSize64Probes32HelpfulC,3,4258223208824758363,0.125,0.0,0.125,20.0,0,1,0,0,1,0,0,0,0.0,0.0
ScenarioSize64Probes32HelpfulC,3,4258223208824758363,0.125,0.0,0.125,40.0,0,1,0,0,1,0,0,0,0.0,0.0
ScenarioSize64Probes32HelpfulC,3,4258223208824758363,0.125,0.0,0.125,60.0,0,1,0,0,1,0,0,0,0.0,0.0
ScenarioSize64Probes32HelpfulC,3,4258223208824758363,0.125,0.0,0.125,80.0,0,4,0,0,4,0,0,0,0.0,0.0
ScenarioSize64Probes32HelpfulC,3,4258223208824758363,0.125,0.0,0.125,100.0,0,5,0,0,5,0,0,0,0.0,0.0
ScenarioSize64Probes32HelpfulC,3,4258223208824758363,0.125,0.0,0.125,120.0,0,5,0,0,5,0,0,0,0.0,0.0
