Scenario,Trial,Seed,Alpha,Beta,Gamma,Turn,Drones,Victims,Intel,Adv,Accepts,Rejects,Successes,Fails,Score,Heat
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,3000.0,0,0,44,136,0,185,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,3010.0,0,0,44,136,0,185,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,3020.0,0,0,44,136,0,185,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,3030.0,0,0,44,136,0,185,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,3040.0,0,0,44,136,0,185,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,3050.0,0,0,44,136,0,185,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,3060.0,0,0,44,136,0,185,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,3070.0,0,0,44,136,0,185,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,3080.0,0,0,44,136,0,186,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,3090.0,0,0,44,136,0,186,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,3100.0,0,0,44,136,0,188,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,3110.0,0,0,44,136,0,188,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,3120.0,0,0,44,136,0,190,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,3130.0,0,0,44,136,0,190,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,3140.0,0,0,44,136,0,191,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,3150.0,0,0,44,136,0,192,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,3160.0,0,0,44,136,0,193,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,3170.0,0,0,44,136,0,194,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,3180.0,0,0,44,136,0,194,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,3190.0,0,0,44,136,0,194,0,0,0.0,0.0
