,Scenario,Trial,Seed,Alpha,Beta,Gamma,Drones,Victims
308,GlobalTaskQueueGamma,309,1213286847067354892,0.3,0.1,0.9,22,506
309,GlobalTaskQueueGamma,310,5287372879486051745,0.3,0.1,1.0,16,509
310,GlobalTaskQueueGamma,311,5249648476825550687,0.3,0.2,0.1,18,220
311,GlobalTaskQueueGamma,312,4188679389061845219,0.3,0.2,0.2,15,246
312,GlobalTaskQueueGamma,313,7818976523469220854,0.3,0.2,0.3,24,297
313,GlobalTaskQueueGamma,314,4278164578510082904,0.3,0.2,0.4,17,321
314,GlobalTaskQueueGamma,315,1853738406702715889,0.3,0.2,0.5,19,372
315,GlobalTaskQueueGamma,316,1295488389544427008,0.3,0.2,0.6,19,400
316,GlobalTaskQueueGamma,317,624500816032626063,0.3,0.2,0.7,21,453
317,GlobalTaskQueueGamma,318,7492019739295940,0.3,0.2,0.8,20,421
318,GlobalTaskQueueGamma,319,6594857058348605476,0.3,0.2,0.9,23,495
319,GlobalTaskQueueGamma,320,4813875763847496873,0.3,0.2,1.0,22,493
320,GlobalTaskQueueGamma,321,2390922521825841269,0.3,0.3,0.1,25,235
321,GlobalTaskQueueGamma,322,101710871646413039,0.3,0.3,0.2,19,275
322,GlobalTaskQueueGamma,323,9083439969454915906,0.3,0.3,0.3,19,311
323,GlobalTaskQueueGamma,324,2248949202350760288,0.3,0.3,0.4,22,321
324,GlobalTaskQueueGamma,325,2372494616336579528,0.3,0.3,0.5,19,402
325,GlobalTaskQueueGamma,326,5617975999539715749,0.3,0.3,0.6,23,405
326,GlobalTaskQueueGamma,327,4264541438430570086,0.3,0.3,0.7,18,460
327,GlobalTaskQueueGamma,328,5021766839772630604,0.3,0.3,0.8,25,466
